Element, Nterminals, Nconductors, P_1, Q_1, ...
"Line.line29", 2, 3,    1.07718,   0.354018, 2.05901E-013, 5.1781E-012, 7.31309E-012, -9.32432E-013,   -1.07714,  -0.354015, -2.05904E-013, -5.1781E-012, -7.31309E-012, 9.3243E-013
"Line.line30", 2, 3,    1.07715,   0.354001, -3.33637E-010, -3.18057E-011, -3.36563E-010, -2.2489E-011,   -1.07711,  -0.353998, 3.33637E-010, 3.18056E-011, 3.36563E-010, 2.24891E-011
"Line.line31", 2, 3,    20.1913,    6.57217,    20.2257,    6.64904,    16.1137,    5.27441,   -20.1821,     -6.572,   -20.2165,   -6.64649,   -16.1094,   -5.27355
"Line.line32", 2, 3, 9.77979E-011, -6.16487E-012, 8.15551E-011, 4.60463E-012, 8.7824E-011, -2.25742E-013, -9.77979E-011, 6.16487E-012, -8.15551E-011, -4.60463E-012, -8.7824E-011, 2.25742E-013
"Line.line33", 2, 3,    1.07714,   0.354015, -1.2187E-012, -2.73504E-012, -1.8294E-012, -2.24101E-013,   -1.07705,  -0.354009, 1.2187E-012, 2.73504E-012, 1.8294E-012, 2.24103E-013
"Line.line34", 2, 3,    1.07711,   0.353998, -1.10554E-010, 1.04933E-010, -4.68218E-010, -1.34779E-011,   -1.07711,  -0.353998, 1.10554E-010, -1.04933E-010, 4.68218E-010, 1.34779E-011
"Line.line35", 2, 3, -1.27099E-010, -8.4478E-012,    2.14742,   0.705608, -2.22861E-010, -6.67571E-012, 1.27099E-010, 8.44811E-012,   -2.14687,  -0.705567, 2.22861E-010, 6.67496E-012
"Line.line36", 2, 3,    20.1821,      6.572,    18.0691,    5.94088,    16.1094,    5.27355,   -20.1532,   -6.56957,   -18.0485,   -5.93443,   -16.0955,   -5.27244
"Line.line37", 2, 3, 8.14983E-011, -5.13739E-012, 4.89331E-011, 2.76278E-012, 7.31866E-011, -1.88118E-013, -8.14983E-011, 5.13739E-012, -4.89331E-011, -2.76278E-012, -7.31866E-011, 1.88118E-013
"Line.line38", 2, 3,    1.07711,   0.353998, -3.49117E-011, -3.68137E-011, -4.68254E-010, -2.81086E-011,   -1.07711,  -0.353998, 3.49117E-011, 3.68137E-011, 4.68254E-010, 2.81086E-011
"Line.line39", 2, 3, -1.44468E-010, -1.43219E-011,    1.07343,   0.352781, -2.33821E-010, -6.76369E-012, 1.44468E-010, 1.43219E-011,   -1.07342,  -0.352781, 2.33821E-010, 6.76366E-012
"Line.line40", 2, 3, -2.36307E-013, -5.20672E-013,    1.07344,   0.352785, -3.65637E-012, -1.36147E-012, 2.36307E-013, 5.20672E-013,    -1.0734,  -0.352782, 3.65637E-012, 1.36146E-012
"Line.line41", 2, 3,    20.1532,    6.56957,    18.0485,    5.93443,    16.0955,    5.27244,   -20.1332,   -6.56789,   -18.0342,   -5.92994,   -16.0858,   -5.27167
"Line.line42", 2, 3, -1.13176E-009, 1.93398E-009, -1.55016E-009, -2.09529E-009, 2.34324E-009, 3.32407E-009, 1.13176E-009, -1.93398E-009, 1.55016E-009, 2.09529E-009, -2.34324E-009, -3.32407E-009
"Line.line43", 2, 3, 7.98823E-011, 2.11476E-011, 1.30488E-010, 7.36741E-012, 1.17108E-010, 3.35834E-012, -7.98823E-011, -2.11476E-011, -1.30488E-010, -7.36741E-012, -1.17108E-010, -3.35834E-012
"Line.line44", 2, 3,    1.07711,   0.353998, -8.1804E-011, 4.68182E-012, -5.40365E-014, -2.1946E-011,    -1.0771,  -0.353997, 8.1804E-011, -4.68182E-012, 5.40361E-014, 2.1946E-011
"Line.line45", 2, 3, -3.56477E-011, -5.50933E-011,    1.07342,   0.352781, -2.33838E-010, -1.407E-011, 3.56477E-011, 5.50933E-011,   -1.07342,   -0.35278, 2.33838E-010, 1.407E-011
"Line.line46", 2, 3, -2.38724E-012, -1.60736E-013,     1.0734,   0.352782, 3.65372E-012, 2.19843E-013, 2.38724E-012, 1.60738E-013,   -1.07329,  -0.352774, -3.65372E-012, -2.19838E-013
"Line.line47", 2, 3,    20.1332,    6.56789,    18.0342,    5.92994,    16.0858,    5.27167,    -20.118,   -6.56662,   -18.0235,   -5.92656,   -16.0785,   -5.27109
"Line.line48", 2, 3, -7.51305E-010, 2.18419E-009, -2.23618E-009, -1.95158E-009, 4.73437E-010, 2.91922E-009, 7.51305E-010, -2.18419E-009, 2.23618E-009, 1.95158E-009, -4.73437E-010, -2.91922E-009
"Line.line49", 2, 3, 1.0103E-010, -5.87348E-011, 2.90446E-011, -5.07218E-011,          0,          0, -1.0103E-010, 5.87348E-011, -2.90446E-011, 5.07218E-011,          0,          0
"Line.line50", 2, 3,     1.0771,   0.353997, -3.08376E-011, -2.0286E-011, 2.92344E-011, -1.10451E-011,    -1.0771,  -0.353997, 3.08376E-011, 2.0286E-011, -2.92344E-011, 1.10451E-011
"Line.line51", 2, 3, -1.24229E-012, -1.50658E-011,    1.07342,    0.35278, -1.75378E-010, -1.05525E-011, 1.24228E-012, 1.50658E-011,   -1.07341,   -0.35278, 1.75378E-010, 1.05525E-011
"Line.line52", 2, 3,     20.118,    6.56662,    18.0235,    5.92656,    16.0785,    5.27109,   -20.1159,   -6.56644,   -18.0219,   -5.92607,   -16.0774,     -5.271
"Line.line53", 2, 3, 8.47598E-010, 5.4458E-011, 7.45952E-010, -1.83992E-010, -1.16715E-010, -1.07197E-011, -8.47598E-010, -5.4458E-011, -7.45952E-010, 1.83992E-010, 1.16715E-010, 1.07197E-011
"Line.line54", 2, 3, -1.58879E-009, 2.1317E-009, -1.75314E-009, -1.27243E-009, 9.41911E-010, 3.50226E-009, 1.58879E-009, -2.1317E-009, 1.75314E-009, 1.27243E-009, -9.41911E-010, -3.50226E-009
"Line.line55", 2, 3, -3.99412E-011, -1.05738E-011, -3.2622E-011, -1.84185E-012, -2.92723E-011, 9.9008E-013, 3.99412E-011, 1.05738E-011, 3.2622E-011, 1.84185E-012, 2.92723E-011, -9.9008E-013
"Line.line56", 2, 3,     1.0771,   0.353997, -1.30753E-011, 3.55367E-012, 2.92614E-011, -7.20467E-014,   -1.07709,  -0.353997, 1.30753E-011, -3.55367E-012, -2.92614E-011, 7.20455E-014
