0.28,0.13,0.13,0.14,0.13,0.14,0.14,0.13,0.14,0.12,0.14,0.12,0.2,0.17,0.19,0.17,0.24,0.27,0.32,0.4,0.29,0.25,0.28,0.18,0.13,0.15,0.13,0.15,0.19,0.19,0.17,0.26,0.35,0.36,0.38,0.42,0.28,0.36,0.31,0.26,0.3,0.31,0.27,0.29,0.36,0.29,0.31,0.31
0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,0.04,0.01,0.24,0.09,0.14,0.03,0.02,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.29,0.12,0.07,0.09,0.09,0.05,0.04,0.07,0.04,0.06,0.08,0.1,0.1,0.14,0.15,0.1,0.12,0.14,0.11,0.11,0.06
0.11,0.14,0.16,0.19,0.06,0.03,0.02,0.05,0.05,0.02,0.02,0.02,0.02,0.06,0.05,0.04,0.41,0.37,0.45,0.35,0.18,0.18,0.18,0.18,0.22,0.48,0.45,1.41,0.35,0.36,0.51,0.44,0.44,0.49,0.44,0.42,0.51,0.68,0.45,0.37,0.29,0.45,0.61,0.32,0.27,0.4,0.1,0.09
0.03,0.02,0.02,0.03,0.01,0.03,0.01,0.03,0.03,0.01,0.03,0.03,0.07,0.34,0.84,0.18,0.03,0.02,0.03,0.01,0.03,0.01,0.03,0.02,0.01,0.03,0.01,0.03,0.02,0.13,0.07,0.94,0.18,0.13,0.11,0.1,0.08,0.1,0.08,0.09,0.08,0.1,0.03,0.06,0.03,0.05,0.03,0.05
0.07,0.07,0.06,0.06,0.05,0.06,0.06,0.06,0.07,0.05,0.06,0.09,0.25,0.27,0.11,0.2,1.06,0.24,0.13,0.09,0.09,0.07,0.09,0.07,0.06,0.08,0.14,0.07,0.06,0.64,0.51,0.51,0.6,0.58,0.75,0.35,0.51,0.33,0.48,0.26,0.29,0.28,0.18,0.2,0.17,0.08,0.08,0.05
0.25,0.13,0.46,0.1,0.1,0.22,0.33,1.03,1.56,1.34,0.64,0.41,0.1,0.26,0.2,0.26,0.38,0.22,0.16,0.31,0.23,0.19,0.27,0.14,0.4,0.27,0.18,0.17,0.16,0.34,0.25,0.18,0.26,0.29,0.22,0.29,0.5,0.52,0.29,0.24,0.18,0.26,0.19,0.26,0.26,0.27,0.12,0.1
0.02,0.01,0.01,0.03,0.01,0.03,0.01,0.01,0.03,0.01,0.02,0.01,0.01,0.03,0.01,0.05,0.16,0.09,0.1,0.07,0.06,1.61,0.75,0.37,0.08,0.08,0.06,0.09,0.06,0.09,0.09,0.1,0.14,0.21,0.11,0.09,0.11,0.09,0.1,0.1,0.08,0.1,0.08,0.09,0.07,0.04,0.03,0.01
0.09,0.07,0.07,0.08,0.06,0.08,0.08,0.06,0.08,0.08,0.06,0.14,0.34,0.29,0.32,0.06,0.09,0.06,0.07,0.08,0.05,0.08,0.07,0.06,0.08,0.06,0.07,0.08,0.05,0.08,0.07,0.09,0.13,0.12,0.11,1.97,0.74,0.32,0.29,0.17,0.12,0.09,0.08,0.06,0.07,0.08,0.06,0.08
0.08,0.1,0.07,0.08,0.1,0.08,0.08,0.09,0.08,0.08,0.1,0.07,0.08,0.4,0.65,0.66,0.58,0.16,0.17,0.19,0.18,0.17,0.19,0.17,0.22,0.21,0.16,0.17,0.19,0.22,0.39,1.0,1.04,0.79,0.87,0.56,0.56,0.58,0.58,0.66,0.94,0.31,0.56,0.1,0.07,0.07,0.1,0.07
0.06,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.12,0.1,0.1,0.19,0.4,0.44,0.21,0.15,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.99,0.71,0.38,0.26,0.21,0.22,0.09,0.17,0.3,0.61,1.65,1.09,0.19,0.74,0.16,0.15,0.16,0.15,0.2,0.06,0.06,0.06
0.12,0.11,0.14,0.13,0.13,0.11,0.12,0.14,0.11,0.12,0.11,0.14,0.12,0.11,0.2,0.45,0.49,0.38,0.06,0.05,0.09,0.06,0.06,0.06,0.52,0.15,0.12,0.08,0.06,0.16,0.26,0.26,0.34,0.29,0.33,0.28,0.38,0.29,0.67,1.18,1.13,0.56,0.26,0.47,0.21,0.22,0.23,0.21
0.76,0.24,0.68,0.71,0.74,0.73,0.72,0.73,0.27,0.68,0.71,0.77,0.73,0.74,0.79,0.8,0.85,0.6,0.48,0.63,0.27,0.57,0.27,0.77,0.23,0.96,0.38,0.49,0.8,0.25,0.55,0.39,1.01,0.82,0.83,0.82,0.95,0.86,0.89,0.86,0.94,1.07,0.88,0.87,0.89,0.83,0.87,0.81
0.11,0.05,0.05,0.1,0.05,0.05,0.1,0.07,0.04,0.1,0.09,0.05,0.07,0.09,0.32,0.43,0.41,0.84,0.22,0.14,0.68,0.27,0.59,0.25,0.39,0.32,0.37,0.37,0.27,0.45,0.22,0.17,0.17,0.23,0.54,0.43,0.24,0.27,0.21,0.28,0.22,0.33,0.19,0.16,0.18,0.13,0.11,0.12
