"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
0.0166666666666667, 3.04783197389838, 1.00256341236077, 3.04783197389838, 3.20849078803755, 0.00234178576326367, 0.00160029248153539, 0.00234178576326367
0.0333333333333333, 3.05505544676017, 1.00496894784811, 3.05505544676017, 3.21610422233452, 0.00236467440280459, 0.00160748649428087, 0.00236467440280459
0.05, 3.23896084039805, 1.06545944729038, 3.23896084039805, 3.40970250307154, 0.00266584862183053, 0.00171405162637457, 0.00266584862183053
0.0666666666666667, 3.65583004156658, 1.20254214340758, 3.65583004156658, 3.84853230459249, 0.00332230416086221, 0.00196524060795873, 0.00332230416086221
0.0833333333333333, 4.09318752416475, 1.3463062545576, 4.09318752416475, 4.30891223385194, 0.00427722159756367, 0.00229698590443154, 0.00427722159756367
0.1, 4.19993308217503, 1.38131466762855, 4.19993308217503, 4.42125187087933, 0.00447773890793537, 0.00236947063627769, 0.00447773890793537
0.116666666666667, 4.37615602707126, 1.43931599771389, 4.37615602707126, 4.60677458907501, 0.00480616493213935, 0.00249866029786349, 0.00480616493213935
0.133333333333333, 4.60225201579066, 1.51364738648191, 4.60225201579066, 4.84477574583723, 0.00544936912878171, 0.00271332311271706, 0.00544936912878171
0.15, 4.76748709049989, 1.56793413831632, 4.76748709049989, 5.01870009267149, 0.00601200493485434, 0.00288346010047233, 0.00601200493485434
0.166666666666667, 7.22701946397159, 2.37383346390451, 7.22701946397159, 7.60689789907667, 0.0300452092806911, 0.00827941616379406, 0.0300452092806911
0.183333333333333, 4.98551829599669, 1.63947512547835, 7.22701946397159, 7.60689789907667, 0.00722811291241767, 0.00320368548002027, 0.0300452092806911
0.2, 5.19730741052599, 1.70911493244474, 7.22701946397159, 7.60689789907667, 0.00798138946668784, 0.00343557250648059, 0.0300452092806911
0.216666666666667, 5.13219764561961, 1.6876778510559, 7.22701946397159, 7.60689789907667, 0.00772628108652153, 0.00335742122036282, 0.0300452092806911
0.233333333333333, 5.26779093760227, 1.73224620312608, 7.22701946397159, 7.60689789907667, 0.00838192466975786, 0.00353855870563967, 0.0300452092806911
0.25, 5.20269107870102, 1.71083189564666, 7.22701946397159, 7.60689789907667, 0.00806806687345348, 0.00345261663545763, 0.0300452092806911
0.266666666666667, 5.28524541689345, 1.73797346557692, 7.22701946397159, 7.60689789907667, 0.00839630508136029, 0.00354829158068432, 0.0300452092806911
0.283333333333333, 7.55613300923151, 2.4837878519383, 7.55613300923151, 7.95388886939177, 0.0228533097660037, 0.00746808254862884, 0.0300452092806911
0.3, 7.55611194069978, 2.48352930281792, 7.55613300923151, 7.95388886939177, 0.0228624559456886, 0.00746916821846772, 0.0300452092806911
0.316666666666667, 7.48586512068669, 2.46046636096775, 7.55613300923151, 7.95388886939177, 0.0222357428436533, 0.00730301811236615, 0.0300452092806911
0.333333333333333, 5.23668435737847, 1.7218007688502, 7.55613300923151, 7.95388886939177, 0.0079354004203969, 0.00344433592959442, 0.0300452092806911
0.35, 5.23660302393037, 1.72202430613933, 7.55613300923151, 7.95388886939177, 0.00793151424776607, 0.00344385492990029, 0.0300452092806911
0.366666666666667, 5.25071363743271, 1.72666249072477, 7.55613300923151, 7.95388886939177, 0.00799496331130084, 0.00346184466009745, 0.0300452092806911
0.383333333333333, 5.51052328883089, 1.81213124942024, 7.55613300923151, 7.95388886939177, 0.00863067988595961, 0.00371032957015773, 0.0300452092806911
0.4, 5.85533814025164, 1.92544791088175, 7.55613300923151, 7.95388886939177, 0.0105458960032521, 0.00423760970419342, 0.0300452092806911
0.416666666666667, 6.17529647099753, 2.03055737215372, 7.55613300923151, 7.95388886939177, 0.0111361056616711, 0.00450654824409067, 0.0300452092806911
0.433333333333333, 6.26633628574568, 2.06046517654651, 7.55613300923151, 7.95388886939177, 0.0117540082609486, 0.00466783135065515, 0.0300452092806911
0.45, 6.19682669465477, 2.03760198938876, 7.55613300923151, 7.95388886939177, 0.0114676642391544, 0.00458057236968897, 0.0300452092806911
0.466666666666667, 6.19682453306935, 2.03760907079286, 7.55613300923151, 7.95388886939177, 0.0114675234901653, 0.00458055580005979, 0.0300452092806911
0.483333333333333, 6.5429353599651, 2.15140032311313, 7.55613300923151, 7.95388886939177, 0.0130399852322435, 0.00507236857359466, 0.0300452092806911
0.5, 6.7495168337707, 2.21928855674789, 7.55613300923151, 7.95388886939177, 0.0136450741741863, 0.00531450115644817, 0.0300452092806911
0.516666666666667, 6.32269476048918, 2.07906706722076, 7.55613300923151, 7.95388886939177, 0.0109538972063282, 0.00455940932501109, 0.0300452092806911
0.533333333333333, 6.25735261184664, 2.05763777810541, 7.55613300923151, 7.95388886939177, 0.0108368701738049, 0.00450096315344771, 0.0300452092806911
0.55, 6.24757812525171, 2.05441623012745, 7.55613300923151, 7.95388886939177, 0.0107969459745031, 0.00448719232213998, 0.0300452092806911
0.566666666666667, 6.28556444812696, 2.06690432859764, 7.55613300923151, 7.95388886939177, 0.010960770520687, 0.00453776952817565, 0.0300452092806911
0.583333333333333, 6.24214623322986, 2.05262786551866, 7.55613300923151, 7.95388886939177, 0.0107728229045207, 0.00447950371050182, 0.0300452092806911
0.6, 6.42052472504853, 2.11130018024939, 7.55613300923151, 7.95388886939177, 0.0111311029722041, 0.00464967236363515, 0.0300452092806911
0.616666666666667, 6.59418269453691, 2.168420934373, 7.55613300923151, 7.95388886939177, 0.0118560237804985, 0.00488777865943547, 0.0300452092806911
