Element, Nterminals, Nconductors, P_1, Q_1, ...
"Transformer.reg1a", 2, 2,     695.92,     152.32,          0,          0,   -695.808,   -152.019,          0,          0
"Transformer.reg1b", 2, 2,    588.144,    58.9624,          0,          0,   -588.073,    -58.765,          0,          0
"Transformer.reg1c", 2, 2,    556.291,    13.5924,          0,          0,   -556.228,   -13.4144,          0,          0
"Transformer.reg2a", 2, 2,    471.701,    61.6174,          0,          0,   -471.653,   -61.4766,          0,          0
"Transformer.reg2b", 2, 2,    500.329,    34.0693,          0,          0,   -500.275,   -33.9145,          0,          0
"Transformer.reg2c", 2, 2,    504.492,    7.06499,          0,          0,   -504.438,   -6.90825,          0,          0
"Load.s860", 1, 4,         20,         16,         20,         16,         20,         16,          0,          0
"Load.s840", 1, 4,    9.37846,    7.29436,    9.35265,    7.27428,    9.28763,    7.22371,          0,          0
"Load.s844", 1, 4,    146.688,    114.091,    145.894,    113.473,     143.83,    111.868,          0,          0
"Load.s848", 1, 3,    19.9094,     16.289,    20.1685,    15.8431,    19.9221,    15.8678
"Load.s830a", 1, 2,    6.45871,  -0.338023,    3.58585,     5.3603
"Load.s830b", 1, 2,    6.37824,   -0.40907,    3.48715,    5.34177
"Load.s830c", 1, 2,    15.2417,   -2.25172,    9.56294,    12.1736
"Load.s890", 1, 3,    139.576,    71.2613,    141.631,    69.4482,     137.75,    68.7691
"Load.d802_806sb", 1, 2,         15,        7.5,          0,          0
"Load.d802_806rb", 1, 2,         15,        7.5,          0,          0
"Load.d802_806sc", 1, 2,       12.5,          7,          0,          0
"Load.d802_806rc", 1, 2,       12.5,          7,          0,          0
"Load.d808_810sb", 1, 2,    8.23387,    4.23729,          0,          0
"Load.d808_810rb", 1, 2,    8.23273,    4.23612,          0,          0
"Load.d818_820sa", 1, 2,    17.8954,    8.94772,          0,          0
"Load.d818_820ra", 1, 2,    17.1133,    8.55664,          0,          0
"Load.d820_822sa", 1, 2,    67.4999,         35,          0,          0
"Load.d820_822ra", 1, 2,    67.4999,         35,          0,          0
"Load.d816_824sb", 1, 2,   0.931453,   0.372581,          0,          0
"Load.d816_824rb", 1, 2,   0.911533,   0.364613,          0,          0
"Load.d824_826sb", 1, 2,    20.2906,    10.1453,          0,          0
"Load.d824_826rb", 1, 2,    20.2869,    10.1434,          0,          0
"Load.d824_828sc", 1, 2,          2,          1,          0,          0
"Load.d824_828rc", 1, 2,          2,          1,          0,          0
"Load.d828_830sa", 1, 2,        3.5,        1.5,          0,          0
"Load.d828_830ra", 1, 2,        3.5,        1.5,          0,          0
"Load.d854_856sb", 1, 2,          2,          1,          0,          0
"Load.d854_856rb", 1, 2,          2,          1,          0,          0
"Load.d832_858sa", 1, 2,    1.28053,   0.548799,          0,          0
"Load.d832_858ra", 1, 2,    1.27489,   0.546381,          0,          0
"Load.d832_858sb", 1, 2,   0.364059,    0.18203,          0,          0
"Load.d832_858rb", 1, 2,   0.362425,   0.181212,          0,          0
"Load.d832_858sc", 1, 2,    1.07605,   0.538025,          0,          0
"Load.d832_858rc", 1, 2,    1.07138,   0.535692,          0,          0
"Load.d858_864sb", 1, 2,   0.999999,        0.5,          0,          0
"Load.d858_864rb", 1, 2,   0.999999,        0.5,          0,          0
