"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "0.416 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "0.416 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "0.416 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "0.416 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "0.416 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
0.183333, 38.5203, 12.5977, 43.4518, 45.7188, 38.1193, 12.5293, 43.0531, 45.319, 0, 0, 0, 0, 0.400782, 0.0688429, 0.400782, 0.0688429, 0.400782, 0.0688429, 0, 0, 0.400782, 0, 0.400782, 0, 0.375483, 0.0252996, 0.400782, 0, 0, 0, 0, 0, 0.400782, 0, 0, 0, 0, 0, 0, 0.400782, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38.1193, 0, 0, 0, 0, 0, 0
0.2, 29.8763, 9.78458, 43.4518, 45.7188, 29.649, 9.74528, 43.0531, 45.319, 0, 0, 0, 0, 0.226011, 0.0391725, 0.400782, 0.0688429, 0.226011, 0.0391725, 0, 0, 0.400782, 0, 0.226011, 0, 0.215884, 0.0101273, 0.226011, 0, 0, 0, 0, 0, 0.226011, 0, 0, 0, 0, 0, 0, 0.226011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29.649, 0, 0, 0, 0, 0, 0
0.216667, 36.3536, 11.8777, 43.4518, 45.7188, 35.9334, 11.8107, 43.0531, 45.319, 0, 0, 0, 0, 0.420227, 0.0669113, 0.420227, 0.0688429, 0.420227, 0.0669113, 0, 0, 0.420227, 0, 0.420227, 0, 0.352533, 0.0676938, 0.420227, 0, 0, 0, 0, 0, 0.420227, 0, 0, 0, 0, 0, 0, 0.420227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35.9334, 0, 0, 0, 0, 0, 0
0.233333, 37.6795, 12.3264, 43.4518, 45.7188, 37.3159, 12.2652, 43.0531, 45.319, 0, 0, 0, 0, 0.363542, 0.0612612, 0.420227, 0.0688429, 0.363542, 0.0612612, 0, 0, 0.420227, 0, 0.363542, 0, 0.335354, 0.0281878, 0.363542, 0, 0, 0, 0, 0, 0.363542, 0, 0, 0, 0, 0, 0, 0.363542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37.3159, 0, 0, 0, 0, 0, 0
0.25, 31.2275, 10.2205, 43.4518, 45.7188, 30.9541, 10.1741, 43.0531, 45.319, 0, 0, 0, 0, 0.272404, 0.0460316, 0.420227, 0.0688429, 0.272404, 0.0460316, 0, 0, 0.420227, 0, 0.272404, 0, 0.248477, 0.0239272, 0.272404, 0, 0, 0, 0, 0, 0.272404, 0, 0, 0, 0, 0, 0, 0.272404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.9541, 0, 0, 0, 0, 0, 0
0.266667, 29.968, 9.78764, 43.4518, 45.7188, 29.6142, 9.73373, 43.0531, 45.319, 0, 0, 0, 0, 0.353838, 0.0539034, 0.420227, 0.0688429, 0.353838, 0.0539034, 0, 0, 0.420227, 0, 0.353838, 0, 0.267846, 0.085992, 0.353838, 0, 0, 0, 0, 0, 0.353838, 0, 0, 0, 0, 0, 0, 0.353838, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29.6142, 0, 0, 0, 0, 0, 0
0.283333, 29.1894, 9.55161, 43.4518, 45.7188, 28.9316, 9.50937, 43.0531, 45.319, 0, 0, 0, 0, 0.257809, 0.0422321, 0.420227, 0.0688429, 0.257809, 0.0422321, 0, 0, 0.420227, 0, 0.257809, 0, 0.228127, 0.029682, 0.257809, 0, 0, 0, 0, 0, 0.257809, 0, 0, 0, 0, 0, 0, 0.257809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28.9316, 0, 0, 0, 0, 0, 0
0.3, 29.4699, 9.64998, 43.4518, 45.7188, 29.2351, 9.60911, 43.0531, 45.319, 0, 0, 0, 0, 0.234797, 0.0408451, 0.420227, 0.0688429, 0.234797, 0.0408451, 0, 0, 0.420227, 0, 0.234797, 0, 0.224161, 0.0106368, 0.234797, 0, 0, 0, 0, 0, 0.234797, 0, 0, 0, 0, 0, 0, 0.234797, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29.2351, 0, 0, 0, 0, 0, 0
0.316667, 33.7929, 11.0629, 43.4518, 45.7188, 33.5125, 11.0149, 43.0531, 45.319, 0, 0, 0, 0, 0.280973, 0.0480446, 0.420227, 0.0688429, 0.280973, 0.0480446, 0, 0, 0.420227, 0, 0.280973, 0, 0.27003, 0.0109426, 0.280973, 0, 0, 0, 0, 0, 0.280973, 0, 0, 0, 0, 0, 0, 0.280973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.5125, 0, 0, 0, 0, 0, 0
0.333333, 26.1582, 8.56809, 43.4518, 45.7188, 25.9722, 8.53664, 43.0531, 45.319, 0, 0, 0, 0, 0.185985, 0.0314212, 0.420227, 0.0688429, 0.185985, 0.0314212, 0, 0, 0.420227, 0, 0.185985, 0, 0.171073, 0.0149113, 0.185985, 0, 0, 0, 0, 0, 0.185985, 0, 0, 0, 0, 0, 0, 0.185985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25.9722, 0, 0, 0, 0, 0, 0
0.35, 30.4587, 9.96984, 43.4518, 45.7188, 30.1915, 9.92346, 43.0531, 45.319, 0, 0, 0, 0, 0.267269, 0.0463912, 0.420227, 0.0688429, 0.267269, 0.0463912, 0, 0, 0.420227, 0, 0.267269, 0, 0.250664, 0.0166047, 0.267269, 0, 0, 0, 0, 0, 0.267269, 0, 0, 0, 0, 0, 0, 0.267269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.1915, 0, 0, 0, 0, 0, 0
0.366667, 30.9337, 10.1246, 43.4518, 45.7188, 30.6728, 10.0817, 43.0531, 45.319, 0, 0, 0, 0, 0.260848, 0.0429478, 0.420227, 0.0688429, 0.260848, 0.0429478, 0, 0, 0.420227, 0, 0.260848, 0, 0.238078, 0.0227702, 0.260848, 0, 0, 0, 0, 0, 0.260848, 0, 0, 0, 0, 0, 0, 0.260848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30.6728, 0, 0, 0, 0, 0, 0
0.383333, 33.8972, 11.0954, 43.4518, 45.7188, 33.607, 11.0462, 43.0531, 45.319, 0, 0, 0, 0, 0.290159, 0.04935, 0.420227, 0.0688429, 0.290159, 0.04935, 0, 0, 0.420227, 0, 0.290159, 0, 0.272174, 0.0179847, 0.290159, 0, 0, 0, 0, 0, 0.290159, 0, 0, 0, 0, 0, 0, 0.290159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33.607, 0, 0, 0, 0, 0, 0
