load flattening,loss minimising,pusedo optimal,uncontrolled,total Load
422.83627070199975,415.26598285178716,714.8346653120011,714.8346653120011,53558.87025929796
447.0265168299994,437.16364374234604,679.9308034769992,679.9308034769992,52195.716403170016
526.5310982530002,510.0379503485656,816.8959086640014,816.8959086640014,59599.35594174703
536.6716804939995,518.2142534899575,801.4104150390002,801.4104150390002,59500.65331950591
374.49516591500026,364.89924664916055,586.1974748709995,586.1974748709995,52759.23877408501
496.0043199199986,486.7296301126546,864.19492564,864.19492564,59525.43721007997
471.2440092139999,454.3092915344798,722.6815863099993,722.6815863099993,54989.75100078596
528.4292721740004,516.459362187723,888.1544059870005,888.1544059870005,64452.91872782599
466.0712931200002,446.223243361713,716.2710707000008,716.2710707000008,55109.42899687991
440.3145304140001,431.32959842877466,814.2589064199998,814.2589064199998,52999.87413958597
428.85350642800006,420.0562441862599,631.1536183300007,631.1536183300007,58852.311273572006
462.64300946600036,449.29798235391524,683.7628451660012,683.7628451660012,58032.18578053389
477.4973883900004,468.5797108449179,843.0269020999995,843.0269020999995,59335.306071610015
619.7302771799995,604.2153744798846,901.7055126999988,901.7055126999988,60323.35086281998
460.2375854999999,444.56934836509225,681.6188938699999,681.6188938699999,58191.007334500006
613.7214625099989,593.9309114066832,895.1393127299991,895.1393127299991,62821.3805374901
584.8350077099992,571.9166781708873,978.7164116359991,978.7164116359991,62054.89529229007
376.76382149099976,361.4325669755573,697.2223661060009,697.2223661060009,51481.62393850905
468.5141779399994,460.08309310692795,755.4634466000006,755.4634466000006,57014.585452060084
422.6084973039995,406.9089838760373,649.4118074870014,649.4118074870014,54057.06869269589
605.18340418,590.1975175380978,864.0086491209994,864.0086491209994,63403.39898581999
254.59775268200033,247.9369542352404,491.44685364899914,491.44685364899914,41882.986627318016
443.7511340649994,439.7012809614163,738.4367722899992,738.4367722899992,57803.329675935085
429.13290149,417.84118108377834,843.1383538999987,843.1383538999987,52513.79696850994
607.3354623730005,569.5295468626433,850.6431966220005,850.6431966220005,63697.698797627054
440.0012218499984,432.8514409888846,762.0679873999999,762.0679873999999,58153.14958815005
458.3760504799996,451.873785081462,732.2084484499995,732.2084484499995,54796.10589952
461.3550155089998,449.9622409807399,722.1679295870001,722.1679295870001,57048.19878449094
404.7026838520001,398.7562526325699,701.5813947079994,701.5813947079994,54914.80150614798
338.69133152099965,331.1574973729484,582.1399983799998,582.1399983799998,50638.51459847898
482.4442389110005,474.7905501838468,767.3536587519998,767.3536587519998,57601.983701089084
580.2129707760001,564.0635489451373,825.7753996939996,825.7753996939996,57916.16547922394
504.10595042000034,487.755885288638,741.0719322999997,741.0719322999997,55710.23777957997
524.1080078899997,517.2132174343174,897.7301837000015,897.7301837000015,57573.19232211002
488.9304500999997,476.91324653887966,853.6739333960005,853.6739333960005,58287.281049900004
451.91441591999984,442.7695188344291,703.6581716000005,703.6581716000005,56963.36933408002
561.2875056580003,554.1538283247759,926.9761219579995,926.9761219579995,63711.304394342034
554.0814648210002,518.6373757592519,760.834797139001,760.834797139001,60178.45649517915
390.07120995400027,382.66557088634823,680.3741560419991,680.3741560419991,52736.00014004598
565.8188755800015,554.2055004978346,851.4026151000003,851.4026151000003,60125.2783644201
452.60443447,445.27028928133836,745.1931719939993,745.1931719939993,58016.12086552991
417.33901492500047,406.8121768583421,712.561214111,712.561214111,52233.68390507496
456.02699119999943,448.82063627989885,739.843301319001,739.843301319001,55171.0872887999
407.8838903769999,399.02721346481326,638.4769762709994,638.4769762709994,51146.38567962305
358.2485752110007,339.0920212327344,604.7655230559991,604.7655230559991,49022.29123478894
396.00286391599997,380.82345597679927,660.2168281369992,660.2168281369992,53462.99631608393
369.29518721399916,360.4953553518276,577.4985243960004,577.4985243960004,47809.751302785946
358.3850153599995,343.5546798394204,576.9143924629994,576.9143924629994,50029.438414640004
416.65561079,406.7989757975789,684.9524424899996,684.9524424899996,55111.949189209896
453.79954873999907,445.3351615078683,757.6862067109988,757.6862067109988,58123.63065125987
517.4790124999993,497.29873351405683,759.7287481669988,759.7287481669988,59147.17487750008
397.9872627769993,387.61769138549204,737.2967257699987,737.2967257699987,52853.17751722305
479.0034778010005,467.1575325543659,741.5280698320008,741.5280698320008,57960.94127219893
558.676293245999,547.9625277419206,870.584311861,870.584311861,63133.19870675401
394.4212912610007,386.61716041628705,582.0371510169992,582.0371510169992,51620.89670873898
525.9259472500008,513.9051295470149,818.7533450000005,818.7533450000005,61263.34055275003
424.23941963899995,414.8296999955818,649.859760203999,649.859760203999,54615.94161036107
494.24106580999967,483.96892760429597,801.290863500001,801.290863500001,59938.29690419005
501.51241847000006,487.99867884183016,893.0942970000008,893.0942970000008,60612.29780152994
431.4590494600005,417.2123856723522,658.49083081,658.49083081,53315.055410539986
449.91217049900035,441.16950347105353,752.635479955,752.635479955,60676.22707950098
442.18847088999985,433.7476871675366,699.6076625000001,699.6076625000001,56806.62281910999
516.9580378659996,505.14560217594806,850.5118105080012,850.5118105080012,57658.16887213402
478.3279299100011,463.88568902514254,748.7723794,748.7723794,56324.86585008997
364.4564932809993,355.5816131575375,590.4832006830005,590.4832006830005,52773.59663671895
453.79537252000085,437.23452054868903,791.1400931999999,791.1400931999999,55448.37330748003
526.6378647309998,509.4683250627713,801.2579797479984,801.2579797479984,57361.27401526897
462.4302189509995,450.3287986133964,741.9382012869992,741.9382012869992,56920.061651048934
443.6043903399987,427.8579562804372,669.7698885999995,669.7698885999995,52456.76312965999
366.2402218170004,359.4822383201571,609.6733153709998,609.6733153709998,49666.599458183
408.7822936479994,397.4173510880287,723.9491360680008,723.9491360680008,54377.50023635205
302.0983973250011,295.4796934395876,530.669428502,530.669428502,49456.01594267494
507.44320564600054,495.6413828938318,797.2093806830005,797.2093806830005,59535.83411435405
349.4529510090002,344.1030442749409,628.740144907,628.740144907,50790.19418899108
449.11200752000013,435.3766097335222,682.9007006099988,682.9007006099988,56234.02694247997
449.4847055230001,443.81473692285425,828.5188961519996,828.5188961519996,56893.38789447699
