[ -3.28527249e-09]
[ -4.69949524e-09]
[ -3.28227205e-09]
[ -3.30269990e-09]
[ -3.30043256e-09]
[ -4.69904935e-09]
[ -4.72455679e-09]
[  1.93688896e-09]
[ -3.31117837e-09]
[ -4.71646189e-09]
[ -4.72301494e-09]
[  1.93507673e-09]
[ -4.72834797e-09]
[ -3.31509934e-09]
[ -4.72857516e-09]
[  1.93596675e-09]
[  1.94336019e-09]
[  1.94079426e-09]
[  1.93945243e-09]
[ -3.33127150e-09]
[ -3.32285341e-09]
[ -3.32899187e-09]
[ -4.73920432e-09]
[  1.94025683e-09]
[ -3.35021973e-09]
[ -4.73856509e-09]
[  1.94516948e-09]
[  1.94648116e-09]
[ -3.35089705e-09]
[ -3.34020620e-09]
[ -3.34934707e-09]
[  1.94341113e-09]
[  1.94238028e-09]
[ -3.33943053e-09]
[ -4.76198491e-09]
[ -4.74877242e-09]
[ -4.75612685e-09]
[ -4.76037027e-09]
[  1.94152097e-09]
[ -4.75082562e-09]
[ -4.74862696e-09]
[  1.94598114e-09]
[  1.94529320e-09]
[ -4.75305936e-09]
[ -4.76531142e-09]
[ -3.33880089e-09]
[  1.94250579e-09]
[ -3.34028802e-09]
[ -3.33885424e-09]
[ -4.76016822e-09]
[ -3.34175826e-09]
[ -3.34263898e-09]
[ -4.75809000e-09]
[ -3.34192316e-09]
[ -3.34652775e-09]
[  1.81102698e-09]
[ -5.02177970e-09]
[  1.80819008e-09]
[  1.81019286e-09]
[  1.81309096e-09]
[ -5.02127286e-09]
[ -5.04535848e-09]
[ -2.81443587e-09]
[  1.80827280e-09]
[ -5.05243374e-09]
[ -5.04849513e-09]
[ -2.81936219e-09]
[ -5.04508970e-09]
[  1.81390601e-09]
[ -5.05100213e-09]
[ -2.81980707e-09]
[ -2.81887169e-09]
[ -2.81987391e-09]
[ -2.81733595e-09]
[  1.82289609e-09]
[  1.82196883e-09]
[  1.82554439e-09]
[ -5.06417786e-09]
[ -2.82781083e-09]
[  1.82341787e-09]
[ -5.06898752e-09]
[ -2.82037256e-09]
[ -2.82796024e-09]
[  1.82865137e-09]
[  1.82017189e-09]
[  1.82625953e-09]
[ -2.81821892e-09]
[ -2.81908501e-09]
[  1.82098768e-09]
[ -5.06661585e-09]
[ -5.07169426e-09]
[ -5.07805026e-09]
[ -5.07254155e-09]
[ -2.82236623e-09]
[ -5.08437028e-09]
[ -5.08412756e-09]
[ -2.82659728e-09]
[ -2.82812354e-09]
[ -5.06841116e-09]
[ -5.08678789e-09]
[  1.82480536e-09]
[ -2.83136451e-09]
[  1.82385505e-09]
[  1.82855650e-09]
[ -5.09116992e-09]
[  1.82273672e-09]
[  1.82826087e-09]
[ -5.09159088e-09]
[  1.82215401e-09]
[  1.82497012e-09]
