LA,Headroom (%),No. Networks
E07000052,378.0275782570364,110.75796178343948
E07000187,373.17124370404406,109.10828025477707
E07000070,373.14377486025387,156.7112526539278
E07000111,372.4050064481354,105.08067940552017
E07000132,371.80193761006865,105.59023354564756
E07000119,371.55088346672323,80.01273885350318
E06000019,371.4993524614269,174.70063694267515
E07000133,370.7652799232995,47.953290870488324
E07000035,369.65118426842486,71.46072186836518
E07000033,369.1767903983234,75.37579617834395
E07000040,368.8648713581023,144.50106157112526
E07000193,368.20708644180405,106.98089171974522
E07000044,366.9285338579601,95.63906581740977
E07000235,365.1670189174638,73.36093418259023
E06000051,365.0050805451706,293.38853503184714
E07000167,364.71245817860745,53.983014861995755
E07000047,364.1087611039072,53.65817409766454
E07000198,364.0722689747942,92.4692144373673
E07000146,363.5946366823667,153.42675159235668
E07000201,362.39977103465463,60.180467091295114
E07000143,360.7697162578011,127.15074309978769
E07000141,359.648938669463,132.48619957537156
E07000221,358.66261566743384,120.22929936305732
E07000115,357.9483400372379,111.80467091295117
E07000042,357.9409632696145,74.07643312101911
E07000068,357.79062463730105,70.11464968152866
E07000050,357.6918697460875,68.05944798301486
E07000239,357.65005210538703,95.79617834394904
E07000194,357.50828577349995,92.96602972399151
E07000188,357.44709152628775,114.88322717622081
E07000007,356.0037856756698,153.99787685774947
E07000083,354.2288972130685,83.53927813163482
E07000009,353.64593675053584,78.68789808917198
E07000030,352.69428157058144,53.64331210191083
E07000082,351.82372752617476,111.93842887473461
E07000011,351.7211939665697,159.6772823779193
E07000065,351.6188268800934,144.2823779193206
S12000011,351.3215790222772,85.97027600849258
E07000209,350.9188622174999,121.76220806794055
E07000179,349.221858445112,129.6475583864119
E07000227,348.9006620280238,127.7855626326964
E07000072,348.42530358838974,117.79405520169851
E07000039,348.24567633378484,89.21231422505308
E07000156,348.07934063652175,73.32696390658174
E07000164,347.47554178071334,86.29723991507431
E07000177,346.54375837552595,133.30573248407643
E07000063,345.6768978118539,94.82165605095541
E06000056,342.5677281119278,245.94267515923568
E07000204,340.98564459177675,101.90870488322717
E07000139,340.47726730867885,106.33970276008493
E07000176,339.89684251063886,103.8004246284501
E07000166,335.7620607240327,49.19957537154989
E07000012,333.60128151872516,138.74946921443737
E07000094,333.16196189599987,109.64968152866243
E07000215,332.5071297998761,76.61995753715499
E06000054,331.5803556756997,461.4564755838641
E07000220,331.4286695142994,96.92144373673037
E07000005,328.1441062216953,83.25902335456476
E07000010,327.73208540357774,93.93418259023355
E07000205,326.4004983101407,128.37579617834396
E07000216,326.3845370282027,112.50106157112526
E07000169,325.85410336296883,80.73885350318471
E07000079,325.67146709283173,92.44373673036094
E07000149,324.3576331555095,125.60297239915074
E07000200,323.1762634404481,84.52016985138005
E07000080,322.8085478835792,79.98726114649682
E06000037,319.63148692119114,143.6072186836518
W06000023,318.70086401145005,131.35031847133757
E07000093,317.7111048031909,114.73673036093419
E07000181,317.1137960303731,102.83864118895966
E07000155,315.8728643367633,81.42462845010616
E07000004,315.31222650790386,166.32908704883226
E07000151,315.04256487866775,74.8004246284501
E07000238,309.13440090444175,114.90870488322717
S12000034,308.47768597389256,265.1295116772824
E07000225,306.35682340766147,122.8131634819533
E07000210,302.9646530698399,77.85774946921444
E07000203,302.5533884268677,91.81953290870489
E07000074,298.93185066794035,58.418259023354565
E07000234,298.2891611682232,86.87685774946921
E07000180,297.17577775407005,118.5031847133758
E07000131,292.1945826981988,81.19745222929936
W06000024,283.8142712881488,57.089171974522294
S12000005,263.7896826056154,53.3312101910828
E07000121,259.74105456330363,132.59023354564755
E08000017,253.33158264003555,285.31847133757964
E06000047,243.42139383190982,512.9384288747347
S12000008,242.0081578982519,124.41825902335457
E08000033,228.53250832112442,201.45859872611464
E07000028,226.0021461115232,107.74309978768578
W06000016,224.98385786589503,230.9447983014862
E06000003,224.65741808457122,136.09341825902337
E07000026,223.66444708482234,98.01486199575372
W06000003,220.98994583049344,119.43736730360934
S12000015,220.46739156000058,387.70063694267515
W06000004,218.01059245426262,92.59023354564756
E06000005,216.78097251288784,106.50106157112526
E07000195,216.03311321852743,117.04458598726114
W06000012,214.50948037362065,139.25053078556263
E06000020,210.7580875299488,155.9384288747346
W06000014,208.8864858311257,121.3036093418259
E06000013,207.49868307612087,157.87048832271762
E07000128,207.32105339327433,106.48195329087049
E07000122,203.82302020306534,84.76857749469214
S12000019,200.71674862931567,83.93205944798301
S12000040,197.08624645493572,169.51592356687897
E07000125,196.26065309996406,67.24203821656052
E07000118,193.0644670211654,104.45647558386412
W06000013,192.87962560679497,134.22929936305732
W06000010,191.42958523985678,180.16135881104034
E06000011,187.2008648101194,326.8789808917197
E07000037,186.21947096942375,87.60509554140127
W06000006,186.03393414715336,125.78343949044586
E07000091,184.47019934397306,173.43099787685776
W06000005,182.10477070309554,141.76220806794055
E07000127,176.2844519542172,102.13375796178345
E06000049,172.74463008306427,358.7983014861996
E06000024,168.9806773442466,202.1104033970276
E06000050,166.5152026036491,322.28874734607217
E07000084,162.45938370236127,159.0828025477707
E07000049,162.20119090245652,84.0276008492569
E07000196,157.42500433534715,98.28025477707007
W06000021,156.407115107893,87.95966029723992
E07000085,146.9831108403187,110.80467091295117
E07000124,137.8754504656562,54.48619957537155
E07000006,133.47777007120808,60.94692144373673
E07000089,126.10518713951315,82.63694267515923
S12000042,81.87203839548015,177.81740976645435
E07000061,78.03889509615203,102.53503184713375
E07000138,77.87996227521576,92.02547770700637
S12000036,71.0598302163895,555.3991507430998
S12000038,68.43562749385222,192.86411889596602
S12000033,68.09231584341133,267.36942675159236
E07000041,66.13802334956364,113.74734607218684
E07000034,64.30385851353562,103.85774946921444
E07000114,56.518394635072305,141.47133757961782
E07000109,56.081610156947555,90.22292993630573
E07000066,53.40320747464503,165.2123142250531
E07000226,52.33143705500314,93.93630573248407
E06000014,50.892599176748774,189.98938428874735
E07000172,50.624912437835576,105.05944798301486
S12000044,50.07180679164965,337.07218683651803
E06000035,48.34203896754642,240.40976645435245
E07000154,48.14405833981049,206.6963906581741
E07000223,46.99750737466498,59.84288747346072
E07000078,46.54712787234918,117.42250530785563
E06000042,46.19195757309719,229.9787685774947
E07000170,45.93713894469815,117.17834394904459
E07000199,43.70636304675536,68.57961783439491
E06000027,43.13920517879073,139.2632696390658
E07000053,42.58804255265675,68.12526539278132
E07000135,42.25751267850912,49.303609341825904
E07000036,42.24565135696711,108.94692144373673
E09000016,42.20062334648198,221.03821656050957
E09000017,41.985162923574,234.2823779193206
E08000030,41.47842288471803,243.88535031847132
E07000173,40.74432322857646,111.18259023354565
