bus appr real   1.0000000e+00   9.9775674e-01   9.9787945e-01
   2.0000000e+00   9.9647122e-01   9.9669676e-01
   3.0000000e+00   9.9567499e-01   9.9597305e-01
   4.0000000e+00   9.9476976e-01   9.9518729e-01
   5.0000000e+00   9.9398899e-01   9.9443012e-01
   6.0000000e+00   9.9366589e-01   9.9412246e-01
   7.0000000e+00   9.9350158e-01   9.9396968e-01
   8.0000000e+00   9.9342950e-01   9.9389463e-01
   9.0000000e+00   9.9339347e-01   9.9385710e-01
   1.0000000e+01   9.9315225e-01   9.9365879e-01
   1.1000000e+01   9.9269110e-01   9.9330085e-01
   1.2000000e+01   9.9387331e-01   9.9435732e-01
   1.3000000e+01   9.9480896e-01   9.9520938e-01
   1.4000000e+01   9.9690188e-01   9.9714572e-01
   1.5000000e+01   9.9992638e-01   1.0000000e+00
   1.6000000e+01   9.9959696e-01   9.9966918e-01
   1.7000000e+01   9.8933014e-01   9.8972579e-01
   1.8000000e+01   9.8768593e-01   9.8797732e-01
   1.9000000e+01   9.8664562e-01   9.8687123e-01
   2.0000000e+01   9.8602804e-01   9.8621028e-01
   2.1000000e+01   9.8589942e-01   9.8607258e-01
   2.2000000e+01   9.8584154e-01   9.8601069e-01
   2.3000000e+01   9.8541076e-01   9.8554931e-01
   2.4000000e+01   9.8504439e-01   9.8515688e-01
   2.5000000e+01   9.8494799e-01   9.8505362e-01
   2.6000000e+01   9.8491586e-01   9.8501920e-01
   2.7000000e+01   9.8547505e-01   9.8561658e-01
   2.8000000e+01   9.8478092e-01   9.8487239e-01
   2.9000000e+01   9.8449824e-01   9.8456922e-01
   3.0000000e+01   9.8432481e-01   9.8438318e-01
   3.1000000e+01   9.8420920e-01   9.8425916e-01
   3.2000000e+01   9.8413213e-01   9.8417648e-01
   3.3000000e+01   9.8862122e-01   9.8897039e-01
   3.4000000e+01   9.8840862e-01   9.8874397e-01
   3.5000000e+01   9.8812520e-01   9.8844207e-01
   3.6000000e+01   9.8804792e-01   9.8835973e-01
   3.7000000e+01   9.8810588e-01   9.8842109e-01
   3.8000000e+01   9.8771629e-01   9.8800567e-01
   3.9000000e+01   9.8742337e-01   9.8769326e-01
   4.0000000e+01   9.9458622e-01   9.9531616e-01
   4.1000000e+01   9.9403421e-01   9.9474277e-01
   4.2000000e+01   9.9364004e-01   9.9433323e-01
   4.3000000e+01   9.9327881e-01   9.9395786e-01
   4.4000000e+01   9.9312122e-01   9.9379406e-01
   4.5000000e+01   9.9296364e-01   9.9363025e-01
   4.6000000e+01   9.9287172e-01   9.9353469e-01
   4.7000000e+01   9.9540707e-01   9.9631477e-01
   4.8000000e+01   9.9615490e-01   9.9718914e-01
   4.9000000e+01   9.9693814e-01   9.9810066e-01
   5.0000000e+01   9.9764503e-01   9.9891355e-01
   5.1000000e+01   9.9859602e-01   1.0000000e+00
   5.2000000e+01   9.9834314e-01   9.9974000e-01
   5.3000000e+01   9.9822596e-01   9.9961787e-01
   5.4000000e+01   9.9812811e-01   9.9951610e-01
   5.5000000e+01   9.9809549e-01   9.9948217e-01
